,b_fcas_power,b_fcas_price,b_fcas_type,b_fcas_actor_power,b_fcas_actor_price,b_en_actor_power,b_en_power_gen,b_en_power_load,b_en_price,b_en_type,b_fcas_cleared_power,fcas_clearing_price,en_price,r,current_state_value,next_state_value,fcas_demand,soe,timestamp,k,delta
0,1.0864658e-07,41.0,gen,3.8741648,-0.3142834,2.030499,0,300.0,54.9,load,-3.6626197836737984e-05,63.0,54.9,-16469.9986484933,-3.145587205886841,-16.391483306884766,41.0,0,2018-06-01 04:30:00,0,-16482.691
1,9.9038985e-08,41.0,gen,3.6570306,-0.7953064,15.035894,0,300.0,56.19,load,-3.6621393991488896e-05,63.0,56.19,-16856.99864867056,-5.051372528076172,-13.006010055541992,41.0,299.9999633738022,2018-06-01 05:00:00,0,-16862.525
2,1.9802377e-07,41.0,gen,2.6515908,4.437432,47.026928,0,300.0,58.73,load,-3.6670886350841626e-05,63.0,58.73,-17618.998646844295,-5.604920387268066,-13.047905921936035,41.0,599.9999267524082,2018-06-01 05:30:00,0,-17622.25
3,1.0015002e-07,41.67,gen,0.54713833,18.529535,96.5599,0,129.00010681152344,62.98,load,-7.562819686993377e-05,63.0,62.98,-8124.423890705603,-6.406269073486328,-8.420244216918945,41.67,899.9998900815219,2018-06-01 06:00:00,0,-8124.989
4,-6.398670393537031e-08,47.66999816894531,gen,4.456476,29.345778,122.28308,0,7.781763270031661e-05,74.24,load,9.730177027728104e-05,63.0,74.24,-0.019590143114328384,-7.2319722175598145,-9.656920433044434,47.67,1028.9999212648486,2018-06-01 06:30:00,0,-1.9505091
5,4.7638714e-08,75.59,gen,8.722347,22.567238,98.29145,-300.0,0,229.57,gen,-3.409977359634147e-05,70.0,229.57,68871.0,2.881457805633545,-7.6203837394714355,75.59,1029,2018-06-01 07:00:00,0,68873.41
6,1.2564982e-07,62.14,gen,2.3695812,9.418561,44.08411,-299.9999694824219,0,104.33,gen,-0.0002607284208132012,70.0,104.33,31299.01139759859,2.295036554336548,-0.42273151874542236,62.14,728.9999659002265,2018-06-01 07:30:00,0,31298.256
7,7.3065685e-08,81.0,gen,4.49463,5.0227847,23.862629,-300.0,0,112.42,gen,-0.00015625513369542786,70.0,112.42,33726.0,0.6286468505859375,-4.751359462738037,81.0,428.9997356893838,2018-06-01 08:00:00,0,33720.92
8,5.7111595e-08,81.0,gen,6.3323083,2.9367955,9.289965,-128.99957275390625,0,103.99,gen,-0.0001562471561975171,70.0,103.99,13414.650613997477,-7.191150188446045,-7.730457305908203,81.0,128.9995794342501,2018-06-01 08:30:00,0,13415.104
9,7.823863e-08,78.92,gen,6.1370945,2.8670957,6.6473246,0,300.0,94.0,load,-0.0002444808702973527,70.0,94.0,-28200.0,-13.495552062988281,-0.2693975567817688,78.92,0,2018-06-01 09:00:00,0,-28190.814
10,-1.7170782484754454e-07,77.66999816894531,gen,3.802284,4.4994264,15.2996235,-299.999755859375,0,101.52,gen,-0.00024924616104619147,70.0,101.52,30455.950256203112,0.9380146265029907,-12.942431449890137,77.67,299.9997555191297,2018-06-01 09:30:00,0,30443.186
11,6.2428796e-08,67.67,gen,5.3751802,2.8667753,6.10747,0,300.0,82.94,load,-8.1953788702443e-05,70.0,82.94,-24881.995008768543,-20.431867599487305,1.5699533224105835,67.67,0,2018-06-01 10:00:00,0,-24863.81
12,4.34227e-08,61.0,gen,1.5708385,5.014292,13.568082,0,300.0,78.59,load,-2.0457986803670987e-08,63.0,78.59,-23576.999998876858,0.25345587730407715,7.573504447937012,61.0,299.9999180462113,2018-06-01 10:30:00,0,-23571.457
